Simulation	SeedType	FreeType 	SpType	InitDens	IndsCell	minX	maxX	minY	maxY	NCells	NSpCells	InitFreezeYear	RestrictRows	RestrictFreq	FinalFreezeYear	InitIndsFile
1	0	1	-9	0	-9	0	49	0	200	-9	-9	0	0	0	0	NULL
2	0	1	-9	0	-9	0	49	0	200	-9	-9	0	0	0	0	NULL
3	0	1	-9	0	-9	0	49	0	200	-9	-9	0	0	0	0	NULL
4	0	1	-9	0	-9	0	49	0	200	-9	-9	0	0	0	0	NULL
5	0	1	-9	0	-9	0	49	0	200	-9	-9	0	0	0	0	NULL
6	0	1	-9	0	-9	0	49	0	200	-9	-9	0	0	0	0	NULL
7	0	1	-9	0	-9	0	49	0	200	-9	-9	0	0	0	0	NULL
8	0	1	-9	0	-9	0	49	0	200	-9	-9	0	0	0	0	NULL
9	0	1	-9	0	-9	0	49	0	200	-9	-9	0	0	0	0	NULL
10	0	1	-9	0	-9	0	49	0	200	-9	-9	0	0	0	0	NULL
